time,tavg,tmin,tmax,prcp,season
16-08-1990,27.7,,31.7,2.0,summer
17-08-1990,30.6,26.5,34.8,17.0,summer
18-08-1990,31.7,27.3,35.1,0.0,summer
19-08-1990,31.1,28.0,35.4,0.0,summer
20-08-1990,32.0,28.3,,0.0,summer
21-08-1990,31.0,,,,summer
22-08-1990,26.5,,,,summer
23-08-1990,30.8,25.5,35.1,0.0,summer
24-08-1990,30.6,27.2,35.0,0.0,summer
25-08-1990,30.0,26.3,34.0,0.0,summer
26-08-1990,31.5,26.9,35.7,0.0,summer
27-08-1990,30.1,25.7,35.9,0.0,summer
28-08-1990,26.8,,31.9,,summer
29-08-1990,27.4,25.1,32.1,,summer
30-08-1990,29.9,25.9,34.6,,summer
31-08-1990,31.5,,35.4,0.0,summer
01-09-1990,31.6,27.5,36.6,0.0,autumn
02-09-1990,33.1,,37.2,,autumn
03-09-1990,29.7,,35.4,0.0,autumn
04-09-1990,26.1,25.0,28.0,31.5,autumn
05-09-1990,28.1,24.0,32.3,69.9,autumn
06-09-1990,26.7,24.2,29.1,8.9,autumn
07-09-1990,25.4,24.1,26.0,25.1,autumn
08-09-1990,28.6,25.0,32.8,79.2,autumn
09-09-1990,28.8,26.0,31.6,0.0,autumn
10-09-1990,28.9,25.3,33.0,2.0,autumn
11-09-1990,29.8,26.1,33.6,0.5,autumn
12-09-1990,29.8,25.7,34.1,0.0,autumn
13-09-1990,30.1,25.7,34.6,0.0,autumn
14-09-1990,29.6,26.9,34.0,0.0,autumn
15-09-1990,28.8,25.9,34.6,,autumn
16-09-1990,27.0,,32.8,,autumn
17-09-1990,28.3,25.4,33.3,,autumn
18-09-1990,29.1,25.0,33.5,0.0,autumn
19-09-1990,27.0,,32.6,,autumn
20-09-1990,26.6,24.4,33.1,17.8,autumn
21-09-1990,25.8,,29.9,11.7,autumn
22-09-1990,28.9,24.4,33.1,12.7,autumn
23-09-1990,30.0,25.4,34.4,0.0,autumn
24-09-1990,30.1,26.3,34.5,0.0,autumn
25-09-1990,26.2,,31.8,,autumn
26-09-1990,28.2,23.5,31.9,0.0,autumn
27-09-1990,,,,,autumn
28-09-1990,,,,,autumn
29-09-1990,26.4,,34.5,,autumn
30-09-1990,27.2,23.7,32.5,0.8,autumn
01-10-1990,27.9,23.1,33.0,0.0,autumn
02-10-1990,27.3,23.0,33.0,0.0,autumn
03-10-1990,27.1,23.0,,0.0,autumn
04-10-1990,25.9,,,0.0,autumn
05-10-1990,27.0,,33.1,0.0,autumn
06-10-1990,27.7,22.6,33.7,0.0,autumn
07-10-1990,28.3,21.5,34.2,0.0,autumn
08-10-1990,28.9,21.5,34.4,0.0,autumn
09-10-1990,27.7,20.6,34.0,0.0,autumn
10-10-1990,26.2,21.6,,0.0,autumn
11-10-1990,25.4,,,0.0,autumn
12-10-1990,27.1,21.4,33.6,0.0,autumn
13-10-1990,25.7,20.1,30.4,0.0,autumn
14-10-1990,23.8,18.8,32.4,0.0,autumn
15-10-1990,25.7,,,0.0,autumn
16-10-1990,24.2,19.0,,,autumn
17-10-1990,24.7,18.6,,,autumn
18-10-1990,26.3,,32.2,0.0,autumn
19-10-1990,27.2,,32.8,0.0,autumn
20-10-1990,,,,,autumn
21-10-1990,,,,,autumn
22-10-1990,,,,,autumn
23-10-1990,19.8,,,0.0,autumn
24-10-1990,,,,,autumn
25-10-1990,20.0,13.4,29.5,0.0,autumn
26-10-1990,22.3,,29.7,,autumn
27-10-1990,24.8,,29.9,0.0,autumn
28-10-1990,23.4,13.1,31.0,0.0,autumn
29-10-1990,20.4,13.7,,,autumn
30-10-1990,20.1,,,0.0,autumn
31-10-1990,24.1,14.1,,,autumn
01-11-1990,21.2,14.4,,0.0,autumn
02-11-1990,,,,,autumn
03-11-1990,20.6,15.1,28.9,0.0,autumn
04-11-1990,,,,,autumn
05-11-1990,,,,,autumn
06-11-1990,22.9,,31.2,,autumn
07-11-1990,23.1,,,0.0,autumn
08-11-1990,22.2,15.1,30.2,0.0,autumn
09-11-1990,21.8,,,0.0,autumn
10-11-1990,22.2,13.5,30.2,0.0,autumn
11-11-1990,19.8,14.3,,0.0,autumn
12-11-1990,20.8,,,0.0,autumn
13-11-1990,23.3,13.5,30.0,0.0,autumn
14-11-1990,20.4,13.0,29.7,0.0,autumn
15-11-1990,20.6,,29.0,0.0,autumn
16-11-1990,20.4,14.3,,0.0,autumn
17-11-1990,21.4,13.7,,,autumn
18-11-1990,16.8,,30.9,0.0,autumn
19-11-1990,17.8,11.8,,0.0,autumn
20-11-1990,,,,,autumn
21-11-1990,18.0,,25.1,,autumn
22-11-1990,18.8,14.1,24.1,2.8,autumn
23-11-1990,18.4,,,0.0,autumn
24-11-1990,18.7,,,0.0,autumn
25-11-1990,18.4,,24.7,0.0,autumn
26-11-1990,17.8,11.9,,0.0,autumn
27-11-1990,16.2,10.3,,0.0,autumn
28-11-1990,16.6,10.0,24.3,0.0,autumn
29-11-1990,16.4,,24.8,0.0,autumn
30-11-1990,18.4,,25.2,,autumn
01-12-1990,,,,,winter
02-12-1990,,,,,winter
03-12-1990,15.2,,25.8,0.0,winter
04-12-1990,15.3,7.2,26.0,,winter
05-12-1990,15.2,9.1,23.6,0.0,winter
06-12-1990,16.7,,23.0,0.0,winter
07-12-1990,11.5,9.6,,0.0,winter
08-12-1990,12.9,9.0,,0.0,winter
